antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
fashion_childrens_clothes,fashion_bags_accessories,0.00021070375052675939,0.014749262536873156,0.00021070375052675939,1.0,67.8,1.0,0.0002075960255927364,inf,0.9854583772391993,0.014285714285714287,1.0,0.5071428571428571
fashion_bags_accessories,fashion_childrens_clothes,0.014749262536873156,0.00021070375052675939,0.00021070375052675939,0.014285714285714287,67.8,1.0,0.0002075960255927364,1.0142789961951177,1.0,0.014285714285714287,0.014077976817702845,0.5071428571428571
market_place,books_general_interest,0.003055204382638011,0.0037926675094816687,0.00021070375052675939,0.06896551724137931,18.183908045977013,1.0,0.0001991163761299022,1.0700004682305566,0.9479023565465498,0.03174603174603175,0.0654209697181866,0.06226053639846743
books_general_interest,market_place,0.0037926675094816687,0.003055204382638011,0.00021070375052675939,0.05555555555555556,18.183908045977013,1.0,0.0001991163761299022,1.0555886071242655,0.9486040609137056,0.03174603174603175,0.05266124203036388,0.06226053639846743
tablets_printing_image,cool_stuff,0.0007374631268436578,0.018541930046354824,0.00021070375052675939,0.28571428571428575,15.409090909090912,1.0,0.00019702976081705819,1.3740412979351033,0.9357933579335793,0.011049723756906077,0.27221983683984546,0.14853896103896105
cool_stuff,tablets_printing_image,0.018541930046354824,0.0007374631268436578,0.00021070375052675939,0.011363636363636364,15.40909090909091,1.0,0.00019702976081705819,1.0107483131590547,0.952769428939459,0.011049723756906077,0.010634015431063402,0.14853896103896105
home_construction,construction_tools_safety,0.01000842815002107,0.002001685630004214,0.00021070375052675939,0.02105263157894737,10.517451523545708,1.0,0.00019067002371993256,1.0194606437112859,0.9140683196764926,0.01785714285714286,0.019089156439076157,0.06315789473684211
construction_tools_safety,home_construction,0.002001685630004214,0.01000842815002107,0.00021070375052675939,0.10526315789473684,10.517451523545706,1.0,0.00019067002371993256,1.1064611685382117,0.9067349308561174,0.01785714285714286,0.09621771786068342,0.06315789473684211
audio,watches_gifts,0.002001685630004214,0.03171091445427729,0.0006321112515802782,0.31578947368421056,9.958384332925338,1.0,0.0005686359698028584,1.4151917404129795,0.9013863964249269,0.01910828025477707,0.293381969775925,0.16786151425074317
watches_gifts,audio,0.03171091445427729,0.002001685630004214,0.0006321112515802782,0.019933554817275746,9.958384332925336,1.0,0.0005686359698028584,1.0182965851707415,0.9290429042904291,0.01910828025477707,0.017967835144682927,0.16786151425074317
construction_tools_safety,cool_stuff,0.002001685630004214,0.018541930046354824,0.00021070375052675939,0.10526315789473684,5.677033492822966,1.0,0.00017358863560042756,1.0969237252423092,0.8255040641824132,0.010362694300518135,0.08835958509412217,0.0583133971291866
cool_stuff,construction_tools_safety,0.018541930046354824,0.002001685630004214,0.00021070375052675939,0.011363636363636364,5.677033492822966,1.0,0.00017358863560042756,1.0094695593627543,0.8394160583941606,0.010362694300518135,0.009380728002072876,0.0583133971291866
baby,cool_stuff,0.022229245680573113,0.018541930046354824,0.002107037505267594,0.09478672985781991,5.11202068074106,1.0,0.001694864386875172,1.0842285484828227,0.8226699709083074,0.0544959128065395,0.07768523398566195,0.10421154674709178
cool_stuff,baby,0.018541930046354824,0.022229245680573113,0.002107037505267594,0.11363636363636365,5.11202068074106,1.0,0.001694864386875172,1.103125979232174,0.8195792185487334,0.0544959128065395,0.09348522396685312,0.10421154674709178
fashion_shoes,baby,0.002107037505267594,0.022229245680573113,0.00021070375052675939,0.1,4.498578199052133,1.0,0.00016386589616398418,1.0864119492438076,0.7793496621621622,0.008733624454148471,0.0795388427971124,0.054739336492891
baby,fashion_shoes,0.022229245680573113,0.002107037505267594,0.00021070375052675939,0.009478672985781991,4.498578199052133,1.0,0.00016386589616398418,1.007442177446835,0.7953884279711239,0.008733624454148471,0.007387200589214808,0.054739336492891
furniture_decor,art,0.1442267172355668,0.0008428150021070375,0.0005267593763168984,0.003652300949598247,4.33345507669832,1.0,0.0004052029353261131,1.0028197846496447,0.8988797242398129,0.003644314868804665,0.0028118558217615523,0.3143261504747991
art,furniture_decor,0.0008428150021070375,0.1442267172355668,0.0005267593763168984,0.625,4.3334550766983195,1.0,0.0004052029353261131,2.282062087371822,0.7698861239983129,0.003644314868804665,0.561799827649883,0.3143261504747991
bed_bath_table,home_confort,0.15086388537715972,0.007901390644753476,0.004530130636325327,0.030027932960893854,3.8003351955307267,1.0,0.0033380961437750765,1.022811525267612,0.8677823301979343,0.02937158469945355,0.022302765176256182,0.3016806331471137
home_confort,bed_bath_table,0.007901390644753476,0.15086388537715972,0.004530130636325327,0.5733333333333335,3.8003351955307267,1.0,0.0033380961437750765,1.9901627686472825,0.7427339472650896,0.02937158469945355,0.49752853598014907,0.3016806331471137
baby,toys,0.022229245680573113,0.02412557943531395,0.002001685630004214,0.09004739336492892,3.732444793973386,1.0,0.001465392197550438,1.0724453267663998,0.7487226308417311,0.04513064133016627,0.06755153382488452,0.0865084128396697
toys,baby,0.02412557943531395,0.022229245680573113,0.002001685630004214,0.08296943231441048,3.7324447939733854,1.0,0.001465392197550438,1.0662357273292797,0.7501775598447701,0.04513064133016627,0.06212109164189035,0.0865084128396697
stationery,luggage_accessories,0.02043826380109566,0.00695322376738306,0.0005267593763168984,0.02577319587628866,3.706654170571696,1.0,0.0003846475546910753,1.0193178549689297,0.7454506345450637,0.0196078431372549,0.0189517478525071,0.05076538581693221
luggage_accessories,stationery,0.00695322376738306,0.02043826380109566,0.0005267593763168984,0.07575757575757576,3.706654170571696,1.0,0.0003846475546910753,1.0598536817889785,0.7353278166772756,0.0196078431372549,0.05647353292008057,0.05076538581693221
office_furniture,furniture_living_room,0.025073746312684365,0.0067425200168563,0.0003160556257901391,0.012605042016806725,1.8694852941176472,1.0,0.0001469953893792879,1.0059373627063328,0.47705496722138174,0.010033444816053512,0.00590231850058649,0.029740021008403363
furniture_living_room,office_furniture,0.0067425200168563,0.025073746312684365,0.0003160556257901391,0.046875,1.8694852941176472,1.0,0.0001469953893792879,1.0228734464916098,0.46825060104652805,0.010033444816053512,0.02236195158850227,0.029740021008403363
cool_stuff,toys,0.018541930046354824,0.02412557943531395,0.0007374631268436578,0.03977272727272727,1.6485708614529575,1.0,0.00029012832062629,1.0162952545525725,0.40084646997485124,0.017587939698492462,0.01603397681881974,0.03517020643112346
toys,cool_stuff,0.02412557943531395,0.018541930046354824,0.0007374631268436578,0.03056768558951965,1.6485708614529575,1.0,0.00029012832062629,1.0124049460332645,0.4031399885874678,0.017587939698492462,0.012252948863860082,0.03517020643112346
furniture_decor,construction_tools_lights,0.1442267172355668,0.0050568900126422255,0.0011588706278971765,0.008035062089116142,1.588933528122717,1.0,0.00042953198195246447,1.0030022957089049,0.43311360558682965,0.007823613086770981,0.0029933089104077107,0.11860086437789139
construction_tools_lights,furniture_decor,0.0050568900126422255,0.1442267172355668,0.0011588706278971765,0.22916666666666663,1.588933528122717,1.0,0.00042953198195246447,1.1101923668295348,0.3725308998498324,0.007823613086770981,0.0992552012803151,0.11860086437789139
toys,stationery,0.02412557943531395,0.02043826380109566,0.0006321112515802782,0.026200873362445417,1.281952010084185,1.0,0.00013902629472704322,1.005917657352238,0.2253769477131239,0.014388489208633094,0.0058828446930879645,0.028564354206995907
stationery,toys,0.02043826380109566,0.02412557943531395,0.0006321112515802782,0.030927835051546393,1.281952010084185,1.0,0.00013902629472704322,1.0070193488805803,0.2245285724528573,0.014388489208633094,0.006970421063292492,0.028564354206995907
consoles_games,toys,0.00695322376738306,0.02412557943531395,0.00021070375052675939,0.030303030303030304,1.2560539896784437,1.0,4.295319819524646e-05,1.0063704962073325,0.20528325907065564,0.006825938566552901,0.006330169884094098,0.019518327378589388
toys,consoles_games,0.02412557943531395,0.00695322376738306,0.00021070375052675939,0.008733624454148471,1.2560539896784437,1.0,4.295319819524646e-05,1.0017960870364286,0.20889560617510528,0.006825938566552901,0.0017928668914467736,0.019518327378589388
home_construction,garden_tools,0.01000842815002107,0.06268436578171091,0.0007374631268436578,0.0736842105263158,1.1754798761609908,1.0,0.00011009115578776484,1.011874832394744,0.1507928062147495,0.010248901903367497,0.011735475589051319,0.04272445820433437
garden_tools,home_construction,0.06268436578171091,0.01000842815002107,0.0007374631268436578,0.011764705882352941,1.1754798761609908,1.0,0.00011009115578776484,1.0017771858005737,0.15926716870855354,0.010248901903367497,0.0017740330142911695,0.04272445820433437
cool_stuff,telephony,0.018541930046354824,0.029814580699536453,0.0006321112515802782,0.034090909090909095,1.1434307741728238,1.0,7.92913818880726e-05,1.0044272576287152,0.12780878774867618,0.013245033112582781,0.004407743413064298,0.02764616125923547
telephony,cool_stuff,0.029814580699536453,0.018541930046354824,0.0006321112515802782,0.02120141342756184,1.1434307741728238,1.0,7.92913818880726e-05,1.0027170895194282,0.1292938067832194,0.013245033112582781,0.002709726948735185,0.02764616125923547
